0.000000, green, 1.650000, 1.320000, green, 1.650000, 5.320000, green, 6.650000, 1.320000, green, 6.650000, 5.320000, red, 3.300000, 2.640000, red, 3.300000, 6.640000, red, 8.300000, 2.640000, red, 8.300000, 6.640000
0.100000, green, 1.557716, 1.254294, green, 1.715089, 5.407552, green, 6.547322, 1.244811, green, 6.825070, 5.421088, red, 3.204716, 2.574738, red, 3.474455, 6.592104, red, 8.245396, 2.545478, red, 8.538164, 6.578507
0.200000, green, 1.651722, 1.056077, green, 1.790061, 5.526235, green, 6.315165, 1.294125, green, 7.138918, 5.288933, red, 3.111223, 2.469993, red, 3.483664, 6.622410, red, 8.289799, 2.429141, red, 8.512933, 6.646700
0.300000, green, 1.506215, 1.047964, green, 1.903572, 5.714917, green, 6.121220, 1.312640, green, 7.267843, 5.216183, red, 3.049621, 2.310837, red, 3.636765, 6.662906, red, 8.400635, 2.285030, red, 8.470389, 6.515160
0.400000, green, 1.432653, 0.753790, green, 1.883040, 5.784571, green, 6.236235, 0.973240, green, 7.241243, 5.128099, red, 2.959579, 2.539483, red, 3.752922, 6.674213, red, 8.430884, 2.311688, red, 8.363471, 6.541020
0.500000, green, 1.521368, 0.697800, green, 1.988104, 5.878727, green, 6.155687, 0.920563, green, 7.371692, 5.060453, red, 2.729944, 2.456270, red, 3.856812, 6.606452, red, 8.583251, 2.324490, red, 8.229706, 6.361463
0.600000, green, 1.586990, 0.502552, green, 2.034861, 5.880308, green, 6.098570, 0.922921, green, 7.391685, 4.928521, red, 2.797515, 2.428619, red, 3.948283, 6.673091, red, 8.640696, 2.605922, red, 8.085364, 6.553123
0.700000, green, 1.752741, 0.380163, green, 1.999658, 6.071326, green, 6.099081, 0.732292, green, 7.386974, 4.838175, red, 2.705757, 2.560886, red, 4.024179, 6.677123, red, 8.859407, 2.658270, red, 7.994348, 6.558743
0.800000, green, 2.073946, 0.389613, green, 1.837075, 6.185015, green, 6.075860, 0.520702, green, 7.352527, 4.645001, red, 2.749049, 2.556636, red, 4.160817, 6.794018, red, 9.073310, 2.689397, red, 7.826440, 6.383190
0.900000, green, 2.155698, 0.233590, green, 1.754343, 6.120931, green, 6.107162, 0.539120, green, 7.188501, 4.639998, red, 2.609867, 2.696601, red, 4.326605, 6.849388, red, 9.270764, 2.610850, red, 7.720388, 6.254863
1.000000, green, 2.267446, 0.129016, green, 1.795943, 6.208429, green, 6.025645, 0.643922, green, 7.206985, 4.611324, red, 2.441865, 2.759685, red, 4.429257, 6.754772, red, 9.253058, 2.812234, red, 7.654592, 6.187854
1.100000, green, 2.198739, 0.058610, green, 1.679680, 6.204175, green, 6.026444, 0.459691, green, 7.100819, 4.735584, red, 2.307679, 2.968519, red, 4.465080, 6.706731, red, 9.368805, 2.911607, red, 7.649964, 6.142643
1.200000, green, 2.188815, 7.914598, green, 1.624062, 6.066258, green, 5.976507, 0.241613, green, 7.093383, 4.911241, red, 2.104216, 3.044969, red, 4.544747, 6.641073, red, 9.407681, 2.847335, red, 7.535906, 6.242811
