0.000000, green, 0.660000, 0.660000, green, 0.660000, 2.660000, green, 0.660000, 4.660000, green, 2.660000, 0.660000, green, 2.660000, 2.660000, green, 2.660000, 4.660000, green, 4.660000, 0.660000, green, 4.660000, 2.660000, green, 4.660000, 4.660000, red, 1.320000, 1.320000, red, 1.320000, 3.320000, red, 1.320000, 5.320000, red, 3.320000, 1.320000, red, 3.320000, 3.320000, red, 3.320000, 5.320000, red, 5.320000, 1.320000, red, 5.320000, 3.320000, red, 5.320000, 5.320000
0.010000, greenPlus, 0.501348, 0.745999, greenPlus, 0.617925, 2.596205, greenPlus, 0.380543, 4.925438, greenPlus, 2.863743, 0.630180, greenPlus, 2.678468, 2.794116, greenPlus, 2.745717, 4.548962, greenPlus, 4.734830, 0.704441, greenPlus, 4.596411, 2.841917, greenPlus, 4.771822, 4.861987, red, 1.233993, 1.171968, red, 1.453537, 3.569734, red, 1.618733, 5.419176, red, 3.269923, 1.228555, red, 3.539380, 3.329568, red, 3.278357, 5.102455, red, 5.179545, 1.426306, red, 5.106330, 3.332455, red, 5.487282, 5.442350
0.020000, greenPlus, 0.507682, 0.533836, greenPlus, 0.721535, 2.688533, greenPlus, 0.155385, 4.959958, greenPlus, 2.813136, 0.542689, greenPlus, 2.820176, 2.642365, greenPlus, 2.586005, 4.337753, greenPlus, 4.865456, 0.700321, greenPlus, 4.675817, 2.801359, greenPlus, 4.850639, 5.040628, red, 1.276094, 1.162688, red, 1.320539, 3.458462, red, 1.507528, 5.374864, red, 3.063254, 1.304551, red, 3.505210, 3.336646, red, 3.184485, 5.076251, red, 5.027869, 1.270518, red, 5.062680, 3.286508, red, 5.466839, 5.509940
0.030000, greenPlus, 0.174611, 0.583115, greenPlus, 0.933718, 2.812619, greenPlus, 0.373397, 5.077911, greenPlus, 2.766084, 0.441037, greenPlus, 2.629198, 2.463847, greenPlus, 2.534803, 4.633201, greenPlus, 4.669515, 0.881808, greenPlus, 4.723757, 2.453058, greenPlus, 4.624528, 4.854509, red, 1.150885, 1.297493, red, 1.066329, 3.441883, red, 1.234735, 5.343975, red, 3.352823, 1.339178, red, 3.300598, 3.530765, red, 3.148602, 5.288158, red, 5.128311, 1.439114, red, 5.113197, 3.266515, red, 5.597297, 5.388843
0.040000, greenPlus, 0.293820, 0.368854, greenPlus, 1.027230, 2.560051, greenPlus, 0.286861, 5.541294, greenPlus, 2.818482, 0.180441, greenPlus, 2.355510, 2.535947, greenPlus, 2.234718, 4.862544, greenPlus, 4.631985, 0.710963, greenPlus, 4.765748, 2.366724, greenPlus, 4.486776, 4.875862, red, 1.105231, 1.437762, red, 0.946139, 3.535998, red, 1.317741, 5.204150, red, 3.294776, 1.267645, red, 3.296606, 3.613762, red, 3.481700, 5.304331, red, 5.050666, 1.320059, red, 4.853411, 3.514214, red, 5.619091, 5.510469
0.050000, greenPlus, 0.365702, 0.311873, greenPlus, 1.197295, 2.708990, greenPlus, 0.136754, 5.626527, greenPlus, 2.984588, 0.271674, greenPlus, 2.373364, 2.297271, greenPlus, 2.010903, 4.826975, greenPlus, 4.810049, 0.770143, greenPlus, 4.762608, 2.337852, greenPlus, 4.624011, 4.590550, red, 1.122241, 1.633308, red, 1.060131, 3.618523, red, 1.230195, 4.925251, red, 3.027159, 1.439241, red, 3.374218, 3.722457, red, 3.369652, 5.342443, red, 5.154164, 1.385204, red, 5.104033, 3.383849, red, 5.773308, 5.504961
0.060000, greenPlus, 0.309444, 0.096656, greenPlus, 1.220062, 2.786706, greenPlus, 0.504217, 5.688819, greenPlus, 2.855533, 0.137715, greenPlus, 2.398216, 2.467968, greenPlus, 2.115803, 5.020237, greenPlus, 4.879683, 0.769178, greenPlus, 4.975829, 2.160856, greenPlus, 4.855608, 4.902882, red, 1.068331, 1.563884, red, 1.012395, 3.920033, red, 1.449674, 4.996507, red, 3.040730, 1.401034, red, 3.160194, 3.800554, red, 3.340097, 5.149612, red, 5.233244, 1.405985, red, 5.053996, 3.470660, red, 5.742537, 5.446675
0.070000, greenPlus, 0.442864, 0.318056, greenPlus, 1.240274, 2.968243, greenPlus, 0.675001, 5.610683, greenPlus, 2.796093, 5.956530, greenPlus, 2.395556, 2.399171, greenPlus, 2.239648, 4.958090, greenPlus, 4.741926, 0.566258, greenPlus, 5.032314, 2.299190, greenPlus, 4.931970, 4.728376, red, 1.014964, 1.479565, red, 1.014754, 3.986196, red, 1.352087, 4.857413, red, 3.041540, 1.449815, red, 3.269373, 3.795347, red, 3.419605, 5.034994, red, 5.091468, 1.302032, red, 5.141035, 3.379916, red, 5.665485, 5.423803
0.080000, greenPlus, 0.311258, 0.497391, greenPlus, 1.177723, 2.849615, greenPlus, 0.668519, 5.458659, greenPlus, 2.781578, 5.936367, greenPlus, 2.102998, 2.516407, greenPlus, 2.559332, 4.978190, greenPlus, 4.915088, 0.559357, greenPlus, 5.043510, 2.162510, greenPlus, 4.900631, 4.637919, red, 0.890621, 1.662559, red, 1.127692, 4.047329, red, 1.329672, 4.596201, red, 2.963362, 1.419148, red, 3.392800, 3.885879, red, 3.474707, 4.965151, red, 5.131220, 1.121530, red, 4.967386, 3.361081, red, 5.703244, 5.605305
0.090000, greenPlus, 0.230872, 0.537399, greenPlus, 1.221315, 2.909741, greenPlus, 0.681838, 5.329542, greenPlus, 2.881280, 5.914630, greenPlus, 2.212322, 2.646966, greenPlus, 2.615256, 4.973625, greenPlus, 4.939660, 0.374725, greenPlus, 4.997186, 2.207858, greenPlus, 5.005717, 4.600126, red, 1.166667, 1.458807, red, 0.968033, 4.079190, red, 1.468190, 4.947428, red, 3.072369, 1.670967, red, 3.615543, 3.966898, red, 3.584592, 4.968087, red, 5.022478, 1.192775, red, 5.025739, 3.284753, red, 5.527573, 5.722784
0.100000, greenPlus, 0.327100, 0.394301, greenPlus, 1.060585, 2.764532, greenPlus, 0.724473, 5.233998, greenPlus, 2.904529, 5.838710, greenPlus, 2.402680, 2.823365, greenPlus, 2.733483, 5.055936, greenPlus, 5.037385, 0.354933, greenPlus, 5.091627, 2.287491, greenPlus, 5.268057, 4.520921, red, 1.214364, 1.259923, red, 1.056095, 4.251424, red, 1.556149, 4.982304, red, 2.937681, 1.906499, red, 3.653994, 3.955158, red, 3.494992, 4.968086, red, 5.019296, 0.864963, red, 5.084827, 3.258199, red, 5.622626, 5.740059
0.110000, greenPlus, 0.347498, 0.461993, greenPlus, 1.162692, 3.025826, greenPlus, 0.759979, 5.244808, greenPlus, 2.748460, 5.851232, greenPlus, 2.457719, 2.716993, greenPlus, 2.708585, 5.193331, greenPlus, 5.190226, 0.444298, greenPlus, 4.822482, 2.061384, greenPlus, 5.386325, 4.425441, red, 1.302195, 1.166189, red, 0.995828, 4.113433, red, 1.497859, 4.987297, red, 2.904485, 1.638590, red, 3.645899, 4.110101, red, 3.299439, 5.009621, red, 4.996861, 0.877953, red, 4.997332, 3.144649, red, 5.631384, 5.841782
0.120000, greenPlus, 0.251243, 0.486210, greenPlus, 1.332636, 3.062041, greenPlus, 0.846201, 5.230496, greenPlus, 2.538474, 0.086104, greenPlus, 2.250213, 2.860581, greenPlus, 2.637549, 5.249834, greenPlus, 5.315774, 0.437672, greenPlus, 4.913560, 1.797125, greenPlus, 5.443102, 4.445853, red, 1.412823, 1.016347, red, 1.010416, 4.240161, red, 1.605622, 4.863756, red, 2.909696, 1.739054, red, 3.627561, 4.116801, red, 3.275844, 5.074488, red, 5.073442, 0.975448, red, 4.854336, 3.437339, red, 5.779866, 5.948871
0.130000, greenPlus, 0.402809, 0.414903, greenPlus, 1.367030, 3.309917, greenPlus, 0.824864, 5.345353, greenPlus, 2.468770, 0.032241, greenPlus, 2.194157, 2.860455, greenPlus, 2.410445, 5.294726, greenPlus, 5.161955, 0.394194, greenPlus, 4.964701, 1.953691, greenPlus, 5.760658, 4.430584, red, 1.296731, 0.956081, red, 1.354924, 4.121337, red, 1.708913, 4.818398, red, 3.002775, 1.959690, red, 3.627037, 4.135250, red, 3.364192, 4.859757, red, 4.956222, 1.260170, red, 4.885200, 3.362693, red, 5.862026, 0.009216
